,Vehicle_Class,Vehicle_Category,Month,month_sin,month_cos,State_EV_Group,Days_Since_Start,Log_EV_Sales_Quantity
293,35,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
294,38,0,-1.561734799,0.696604762,1.20443877,0,-1.748040658,1.945910149
295,39,2,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.693147181
296,40,2,-1.561734799,0.696604762,1.20443877,0,-1.748040658,2.995732274
297,43,0,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
298,45,0,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
299,46,3,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
300,47,3,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
301,48,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
302,49,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
303,50,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
304,51,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
305,58,1,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
306,59,1,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
307,60,1,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
308,61,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
309,63,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
310,65,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
311,66,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
312,69,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
313,70,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
314,71,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
315,0,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
316,1,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
317,2,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
318,5,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
319,7,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
320,9,3,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
321,11,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
322,12,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
323,13,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
324,15,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
325,19,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
326,20,3,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
327,22,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
328,26,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
329,28,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
330,29,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
331,33,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
332,31,0,-1.561734799,0.696604762,1.20443877,2,-1.748040658,1.386294361
333,39,2,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
334,40,2,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.693147181
335,47,3,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
336,50,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
337,51,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
338,54,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
339,55,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
340,58,1,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
341,59,1,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
342,60,1,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
343,69,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
