STATE,ANDAMAN & NICOBAR ISLAND,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,CHANDIGARH,CHHATTISGARH,DELHI,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU AND KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,ODISHA,PUDUCHERRY,PUNJAB,RAJASTHAN,TAMIL NADU,TRIPURA,UT OF DNH AND DD,UTTARAKHAND,UTTAR PRADESH,WEST BENGAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,3,7934,2,6997,9572,631,5167,11126,1931,9917,3659,142,1266,2244,26408,10177,9674,30304,18,353,7928,524,4921,12623,14907,1216,35,1391,29749,3968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APR,14,3545,6,4183,7279,379,2961,5683,1012,4860,2898,132,777,1505,9161,4922,4787,14851,11,73,4682,296,3677,6522,8276,378,38,1158,22233,2722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAY,4,6535,1,5789,8801,490,3145,6086,910,6016,3314,173,807,1785,11856,6459,6146,15992,29,35,5474,329,3856,7441,8496,567,42,1834,28886,2816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUN,4,5331,7,5689,9039,511,3678,5625,786,6064,3300,170,921,2206,12875,5702,6882,15882,28,31,4680,334,2910,7707,10101,785,32,1622,28404,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUL,3,5742,13,6767,10359,739,4702,8597,808,9059,3511,227,1255,2742,15295,6760,9048,21887,69,117,6325,504,4320,11019,14814,1082,63,1858,34995,4510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUG,9,3341,6,6545,10329,634,4608,6177,713,6000,4790,198,1240,2122,15488,7137,7488,17961,41,9,5257,378,4137,8194,11673,566,70,1566,34160,4204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEP,6,3276,12,6869,10913,592,3225,5849,1206,5775,4568,192,1170,2284,15237,9043,8054,19187,14,37,4363,434,3988,7787,13019,1047,36,2018,32086,5015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCT,12,5081,16,6001,11826,904,6955,7888,1134,10129,5980,207,1557,3013,21637,7684,14283,34221,30,38,7908,457,4793,15533,12315,1071,43,2096,42118,4687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOV,8,7041,17,5863,10350,621,4963,7628,575,5361,5110,243,1335,2481,16795,7806,13413,24669,47,69,6332,391,5080,12222,13466,962,37,2438,39925,4920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEC,10,3941,8,4752,8580,521,2885,7403,650,4930,4101,224,906,2357,11783,6213,7698,18976,79,27,4167,346,3642,6689,9897,827,31,1555,31816,5312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
